,playlist,track_uri
0,0,0UaMYEvWZi0ZqiDOoHU3YI
1,0,6I9VzXrHxO9rA9A5euc8Ak
2,0,0WqIKmW4BTrj3eJFmnCKMv
3,0,1AWQoqb9bSvzTjaLralEkT
4,0,1lzr43nnXAijIGYnCT8M8H
5,0,0XUfyU2QviPAs6bxSpXYG4
6,0,68vgtRHr7iZHpzGpon6Jlo
7,0,3BxWKCI06eQ5Od8TY2JBeA
8,0,7H6ev70Weq6DdpZyyTmUXk
9,0,2PpruBYCo4H7WOBJ7Q2EwM
10,0,2gam98EZKrF9XuOkU13ApN
11,0,4Y45aqo9QMa57rDsAJv40A
12,0,1HwpWwa6bnqqRhK8agG4RS
13,0,20ORwCJusz4KS2PbTPVNKo
14,0,7k6IzwMGpxnRghE7YosnXT
15,0,1Bv0Yl01xBDZD4OQP93fyl
16,0,4omisSlTk6Dsq2iQD7MA07
17,0,7xYnUQigPoIDAMPVK79NEq
18,0,6d8A5sAx9TfdeseDvfWNHd
19,0,4pmc2AxSEq6g7hPVlJCPyP
